Year,consumption,production,CO2
1960,695.0435,58.79752431,32.87356322
1961,752.0181,69.91439054,29.29659173
1962,838.1376,75.72744015,31.07913669
1963,886.1935,77.49140893,31.72606569
1964,1041.67,76.82530299,31.55405405
1965,1134.397,74.50555405,29.55182073
1966,1238.23,78.72659176,29.55414013
1967,1343.348,81.753663,30.22981732
1968,1498.517,84.14558914,32.36714976
1969,1608.784,88.92687559,31.94014448
1970,1750.951,86.15092385,30.93047035
1971,1884.661,92.60786802,31.97781885
1972,2021.173,90.10015967,32.07106124
1973,2143.262,91.2357104,30.97982709
1974,2246.056,89.69990827,32.44798583
1975,2175.228,93.07272969,33.0179754
1976,2377.666,92.85026481,33.88203018
1977,2535.799,91.69715109,32.70868825
1978,2693.521,92.76383993,34.43965517
1979,2935.013,92.23684211,31.54585799
1980,2868.319,92.06890025,32.02008497
1981,2827.396,91.81308766,29.62242118
1982,2794.194,92.38366572,30.3917689
1983,2852.789,92.72997033,30.01592357
1984,2962.273,93.87682449,31.56626506
1985,3114.965,92.90520399,32.47637051
1986,3271.473,92.53270496,33.94027677
1987,3414.634,94.60764906,36.28865979
1988,3427.284,93.23768903,37.47330961
1989,3598.111,94.88695138,37.18782073
1990,3767.529,79.32391595,36.06775158
1991,3897.873,80.6229069,37.17447917
1992,4104.9,80.97591888,39.40966591
1993,4185.097,83.55935352,39.27073249
1994,4351.064,83.0520561,39.41947566
1995,4525.276,84.40127244,40.23904382
1996,4787.891,84.40803383,40.43555032
1997,4976.633,85.43349078,40.72592169
1998,5201.611,86.28221094,40.10638298
1999,5433.865,87.10774179,39.79539642
2000,5796.056,87.51742491,38.40313495
2001,5896.939,86.92757389,39.59497207
2002,6035.687,86.05643441,38.90209125
2003,6092.549,87.26519448,36.93114129
2004,6168.399,88.57426135,35.63001416
2005,6241.716,83.13041442,35.21699819
2006,6351.099,82.98790382,33.75359434
2007,6218.313,82.16684023,33.49831271
2008,6340.733,78.82171994,33.17438692
2009,5947.909,75.90314042,33.13069909
2010,5927.869,79.03534923,34.29951691
2011,5657.538,72.19481667,34.32708688
2012,5651.008,71.46752146,36.42476884
2013,5698.756,68.82111437,33.71113049
2014,5672.064,65.29370738,33.72711164
