Year,Electric power consumption
1/1/1960,695.04
1/1/1961,752.02
1/1/1962,838.14
1/1/1963,886.19
1/1/1964,1041.67
1/1/1965,1134.4
1/1/1966,1238.23
1/1/1967,1343.35
1/1/1968,1498.52
1/1/1969,1608.78
1/1/1970,1750.95
1/1/1971,1884.66
1/1/1972,2021.17
1/1/1973,2143.26
1/1/1974,2246.06
1/1/1975,2175.23
1/1/1976,2377.67
1/1/1977,2535.8
1/1/1978,2693.52
1/1/1979,2935.01
1/1/1980,2868.32
1/1/1981,2827.4
1/1/1982,2794.19
1/1/1983,2852.79
1/1/1984,2962.27
1/1/1985,3114.97
1/1/1986,3271.47
1/1/1987,3414.63
1/1/1988,3427.28
1/1/1989,3598.11
1/1/1990,3767.53
1/1/1991,3897.87
1/1/1992,4104.9
1/1/1993,4185.1
1/1/1994,4351.06
1/1/1995,4525.28
1/1/1996,4787.89
1/1/1997,4976.63
1/1/1998,5201.61
1/1/1999,5433.87
1/1/2000,5796.06
1/1/2001,5896.94
1/1/2002,6035.69
1/1/2003,6092.55
1/1/2004,6168.4
1/1/2005,6241.72
1/1/2006,6351.1
1/1/2007,6218.31
1/1/2008,6340.73
1/1/2009,5947.91
1/1/2010,5927.87
1/1/2011,5657.54
1/1/2012,5651.01
1/1/2013,5698.76
1/1/2014,5672.06
