Year,CO2 emissions from electricity and heat production
1/1/1960,32.87356322
1/1/1961,29.29659173
1/1/1962,31.07913669
1/1/1963,31.72606569
1/1/1964,31.55405405
1/1/1965,29.55182073
1/1/1966,29.55414013
1/1/1967,30.22981732
1/1/1968,32.36714976
1/1/1969,31.94014448
1/1/1970,30.93047035
1/1/1971,31.97781885
1/1/1972,32.07106124
1/1/1973,30.97982709
1/1/1974,32.44798583
1/1/1975,33.0179754
1/1/1976,33.88203018
1/1/1977,32.70868825
1/1/1978,34.43965517
1/1/1979,31.54585799
1/1/1980,32.02008497
1/1/1981,29.62242118
1/1/1982,30.3917689
1/1/1983,30.01592357
1/1/1984,31.56626506
1/1/1985,32.47637051
1/1/1986,33.94027677
1/1/1987,36.28865979
1/1/1988,37.47330961
1/1/1989,37.18782073
1/1/1990,36.06775158
1/1/1991,37.17447917
1/1/1992,39.40966591
1/1/1993,39.27073249
1/1/1994,39.41947566
1/1/1995,40.23904382
1/1/1996,40.43555032
1/1/1997,40.72592169
1/1/1998,40.10638298
1/1/1999,39.79539642
1/1/2000,38.40313495
1/1/2001,39.59497207
1/1/2002,38.90209125
1/1/2003,36.93114129
1/1/2004,35.63001416
1/1/2005,35.21699819
1/1/2006,33.75359434
1/1/2007,33.49831271
1/1/2008,33.17438692
1/1/2009,33.13069909
1/1/2010,34.29951691
1/1/2011,34.32708688
1/1/2012,36.42476884
1/1/2013,33.71113049
1/1/2014,33.72711164
